text,label
Thanks for your help today!,SAFE
Dinner at The Diner tonight?,SAFE
Package delivered to your front door.,SAFE
"Hey, are you free for lunch tomorrow at 1:00 PM?",SAFE
Invoice paid. Receipt attached.,SAFE
Your Amazon order #405 has shipped.,SAFE
Package delivered to your front door.,SAFE
Package delivered to your front door.,SAFE
Your Amazon order #254 has shipped.,SAFE
Thanks for your help today!,SAFE
Library book due on Thursday.,SAFE
Thanks for your help today!,SAFE
"Hey, are you free for lunch tomorrow at 9:00 AM?",SAFE
Mom: Call me when you land.,SAFE
Mom: Call me when you land.,SAFE
Meeting moved to Thursday 9:00 AM.,SAFE
Library book due on Wednesday.,SAFE
"Hey, are you free for lunch tomorrow at 9:00 AM?",SAFE
Thanks for your help today!,SAFE
Package delivered to your front door.,SAFE
Invoice paid. Receipt attached.,SAFE
Mom: Call me when you land.,SAFE
Package delivered to your front door.,SAFE
Library book due on Tuesday.,SAFE
Meeting moved to Thursday 1:00 PM.,SAFE
"Hey, are you free for lunch tomorrow at 9:00 AM?",SAFE
"Hey, are you free for lunch tomorrow at 1:00 PM?",SAFE
"Hey, are you free for lunch tomorrow at 11:30 AM?",SAFE
Library book due on Friday.,SAFE
Dinner at Sakura tonight?,SAFE
Your warranty is expiring. Contact 877-333-9090 to extend coverage.,SCAM
Meeting moved to Monday 1:00 PM.,SAFE
Invoice paid. Receipt attached.,SAFE
Meeting moved to Monday 9:00 AM.,SAFE
Reminder: dentist appointment on Monday at 1:00 PM.,SAFE
Package delivered to your front door.,SAFE
Thanks for your help today!,SAFE
Invoice paid. Receipt attached.,SAFE
Mom: Call me when you land.,SAFE
Library book due on Wednesday.,SAFE
Meeting moved to Monday 11:30 AM.,SAFE
Invoice paid. Receipt attached.,SAFE
Dinner at Sakura tonight?,SAFE
"Hey, are you free for lunch tomorrow at 11:30 AM?",SAFE
Invoice paid. Receipt attached.,SAFE
Your Amazon order #640 has shipped.,SAFE
Your Amazon order #285 has shipped.,SAFE
Invoice paid. Receipt attached.,SAFE
Your Amazon order #894 has shipped.,SAFE
Thanks for your help today!,SAFE
Library book due on Thursday.,SAFE
Your Amazon order #996 has shipped.,SAFE
Meeting moved to Friday 3:15 PM.,SAFE
Package delivered to your front door.,SAFE
Your Amazon order #865 has shipped.,SAFE
Mom: Call me when you land.,SAFE
Meeting moved to Wednesday 11:30 AM.,SAFE
Mom: Call me when you land.,SAFE
Your Amazon order #449 has shipped.,SAFE
Dinner at Sakura tonight?,SAFE
Dinner at The Diner tonight?,SAFE
"Hey, are you free for lunch tomorrow at 3:15 PM?",SAFE
Reminder: dentist appointment on Monday at 1:00 PM.,SAFE
Your Amazon order #656 has shipped.,SAFE
Your Amazon order #830 has shipped.,SAFE
Package delivered to your front door.,SAFE
Your Amazon order #412 has shipped.,SAFE
Reminder: dentist appointment on Monday at 9:00 AM.,SAFE
Meeting moved to Wednesday 9:00 AM.,SAFE
Thanks for your help today!,SAFE
Dinner at Sakura tonight?,SAFE
Mom: Call me when you land.,SAFE
Reminder: dentist appointment on Tuesday at 9:00 AM.,SAFE
Your Amazon order #910 has shipped.,SAFE
Your Amazon order #145 has shipped.,SAFE
Meeting moved to Tuesday 9:00 AM.,SAFE
Your Amazon order #196 has shipped.,SAFE
Your Amazon order #766 has shipped.,SAFE
Thanks for your help today!,SAFE
"Hey, are you free for lunch tomorrow at 9:00 AM?",SAFE
Reminder: dentist appointment on Thursday at 1:00 PM.,SAFE
Meeting moved to Tuesday 9:00 AM.,SAFE
Thanks for your help today!,SAFE
Netflix membership expired. Reactivate now: https://tinyurl.com/verify-now,SCAM
Dinner at Cafe Luna tonight?,SAFE
Library book due on Thursday.,SAFE
Thanks for your help today!,SAFE
Package delivered to your front door.,SAFE
Mom: Call me when you land.,SAFE
Mom: Call me when you land.,SAFE
Your Amazon order #328 has shipped.,SAFE
Dinner at Cafe Luna tonight?,SAFE
Invoice paid. Receipt attached.,SAFE
Library book due on Wednesday.,SAFE
Dinner at The Diner tonight?,SAFE
Package delivered to your front door.,SAFE
Package delivered to your front door.,SAFE
Thanks for your help today!,SAFE
Mom: Call me when you land.,SAFE
Invoice paid. Receipt attached.,SAFE
Your Amazon order #112 has shipped.,SAFE
"Hey, are you free for lunch tomorrow at 1:00 PM?",SAFE
"Hey, are you free for lunch tomorrow at 3:15 PM?",SAFE
Library book due on Tuesday.,SAFE
Mom: Call me when you land.,SAFE
Your Amazon order #902 has shipped.,SAFE
Package delivered to your front door.,SAFE
Your Amazon order #827 has shipped.,SAFE
Meeting moved to Tuesday 9:00 AM.,SAFE
Thanks for your help today!,SAFE
Invoice paid. Receipt attached.,SAFE
Meeting moved to Tuesday 9:00 AM.,SAFE
"Hey, are you free for lunch tomorrow at 3:15 PM?",SAFE
Your Amazon order #135 has shipped.,SAFE
Invoice paid. Receipt attached.,SAFE
Dinner at Cafe Luna tonight?,SAFE
Thanks for your help today!,SAFE
Thanks for your help today!,SAFE
Dinner at Sakura tonight?,SAFE
"Hey, are you free for lunch tomorrow at 11:30 AM?",SAFE
"Hey, are you free for lunch tomorrow at 11:30 AM?",SAFE
Package delivered to your front door.,SAFE
Thanks for your help today!,SAFE
Mom: Call me when you land.,SAFE
Package delivered to your front door.,SAFE
Package delivered to your front door.,SAFE
Reminder: dentist appointment on Wednesday at 1:00 PM.,SAFE
Reminder: dentist appointment on Tuesday at 9:00 AM.,SAFE
Reminder: dentist appointment on Wednesday at 9:00 AM.,SAFE
Reminder: dentist appointment on Monday at 3:15 PM.,SAFE
Mom: Call me when you land.,SAFE
Your Amazon order #826 has shipped.,SAFE
Dinner at Cafe Luna tonight?,SAFE
Thanks for your help today!,SAFE
Congratulations! You won a new iPhone. Claim here: http://short.co/pay-fee,SCAM
Dinner at The Diner tonight?,SAFE
Your Amazon order #357 has shipped.,SAFE
Meeting moved to Wednesday 1:00 PM.,SAFE
Meeting moved to Monday 3:15 PM.,SAFE
Mom: Call me when you land.,SAFE
Mom: Call me when you land.,SAFE
Dinner at Sakura tonight?,SAFE
Library book due on Thursday.,SAFE
"Hey, are you free for lunch tomorrow at 1:00 PM?",SAFE
Package delivered to your front door.,SAFE
Student loan forgiveness approved. Call 800-555-1212 to process.,SCAM
Invoice paid. Receipt attached.,SAFE
Dinner at The Diner tonight?,SAFE
Package delivered to your front door.,SAFE
Thanks for your help today!,SAFE
Thanks for your help today!,SAFE
Package delivered to your front door.,SAFE
Your Amazon order #334 has shipped.,SAFE
Dinner at Cafe Luna tonight?,SAFE
Reminder: dentist appointment on Tuesday at 3:15 PM.,SAFE
Meeting moved to Friday 9:00 AM.,SAFE
Reminder: dentist appointment on Monday at 9:00 AM.,SAFE
Netflix membership expired. Reactivate now: https://tinyurl.com/verify-now,SCAM
Package delivered to your front door.,SAFE
Thanks for your help today!,SAFE
Package delivered to your front door.,SAFE
Invoice paid. Receipt attached.,SAFE
Reminder: dentist appointment on Tuesday at 9:00 AM.,SAFE
This is the IRS. Immediate payment required today at 800-555-1212.,SCAM
Dinner at Sakura tonight?,SAFE
"Hey, are you free for lunch tomorrow at 1:00 PM?",SAFE
Package delivered to your front door.,SAFE
Meeting moved to Thursday 9:00 AM.,SAFE
Meeting moved to Tuesday 1:00 PM.,SAFE
Mom: Call me when you land.,SAFE
"Hey, are you free for lunch tomorrow at 1:00 PM?",SAFE
Your Amazon order #410 has shipped.,SAFE
Invoice paid. Receipt attached.,SAFE
Meeting moved to Tuesday 11:30 AM.,SAFE
Reminder: dentist appointment on Monday at 9:00 AM.,SAFE
Meeting moved to Wednesday 9:00 AM.,SAFE
"Hey, are you free for lunch tomorrow at 11:30 AM?",SAFE
Invoice paid. Receipt attached.,SAFE
Package delivered to your front door.,SAFE
Meeting moved to Tuesday 3:15 PM.,SAFE
Invoice paid. Receipt attached.,SAFE
Dinner at Cafe Luna tonight?,SAFE
Package delivered to your front door.,SAFE
Library book due on Friday.,SAFE
"Hey, are you free for lunch tomorrow at 9:00 AM?",SAFE
Package delivered to your front door.,SAFE
Reminder: dentist appointment on Wednesday at 9:00 AM.,SAFE
Mom: Call me when you land.,SAFE
Meeting moved to Wednesday 1:00 PM.,SAFE
Package delivered to your front door.,SAFE
Mom: Call me when you land.,SAFE
Meeting moved to Monday 3:15 PM.,SAFE
"Hey, are you free for lunch tomorrow at 3:15 PM?",SAFE
Meeting moved to Friday 9:00 AM.,SAFE
Thanks for your help today!,SAFE
Invoice paid. Receipt attached.,SAFE
Mom: Call me when you land.,SAFE
Mom: Call me when you land.,SAFE
"Hey, are you free for lunch tomorrow at 3:15 PM?",SAFE
Reminder: dentist appointment on Friday at 3:15 PM.,SAFE
Thanks for your help today!,SAFE
Package delivered to your front door.,SAFE
Reminder: dentist appointment on Tuesday at 3:15 PM.,SAFE
Meeting moved to Friday 9:00 AM.,SAFE
Library book due on Wednesday.,SAFE
This is the IRS. Immediate payment required today at 888-404-5000.,SCAM
Library book due on Friday.,SAFE
"Hey, are you free for lunch tomorrow at 1:00 PM?",SAFE
Invoice paid. Receipt attached.,SAFE
Your Amazon order #202 has shipped.,SAFE
Final notice: unpaid tax balance. Pay fee: https://tinyurl.com/verify-now,SCAM
Your Amazon order #414 has shipped.,SAFE
Dinner at The Diner tonight?,SAFE
Package delivered to your front door.,SAFE
Invoice paid. Receipt attached.,SAFE
"Hey, are you free for lunch tomorrow at 1:00 PM?",SAFE
Final notice: unpaid tax balance. Pay fee: https://tinyurl.com/verify-now,SCAM
Your Amazon order #325 has shipped.,SAFE
Invoice paid. Receipt attached.,SAFE
Mom: Call me when you land.,SAFE
Package delivered to your front door.,SAFE
Reminder: dentist appointment on Monday at 3:15 PM.,SAFE
"Hey, are you free for lunch tomorrow at 1:00 PM?",SAFE
Meeting moved to Monday 1:00 PM.,SAFE
Reminder: dentist appointment on Thursday at 9:00 AM.,SAFE
Dinner at Cafe Luna tonight?,SAFE
Invoice paid. Receipt attached.,SAFE
"Hey, are you free for lunch tomorrow at 9:00 AM?",SAFE
Congratulations! You won a new iPhone. Claim here: http://short.co/pay-fee,SCAM
Your Amazon order #643 has shipped.,SAFE
Package delivered to your front door.,SAFE
Reminder: dentist appointment on Friday at 3:15 PM.,SAFE
Your Amazon order #900 has shipped.,SAFE
Reminder: dentist appointment on Wednesday at 11:30 AM.,SAFE
Dinner at Sakura tonight?,SAFE
Meeting moved to Monday 3:15 PM.,SAFE
Meeting moved to Wednesday 9:00 AM.,SAFE
Reminder: dentist appointment on Friday at 11:30 AM.,SAFE
Meeting moved to Friday 3:15 PM.,SAFE
Package delivered to your front door.,SAFE
Meeting moved to Tuesday 9:00 AM.,SAFE
Meeting moved to Monday 11:30 AM.,SAFE
"Hey, are you free for lunch tomorrow at 9:00 AM?",SAFE
Dinner at Sakura tonight?,SAFE
Your Amazon order #239 has shipped.,SAFE
Meeting moved to Monday 3:15 PM.,SAFE
Thanks for your help today!,SAFE
Thanks for your help today!,SAFE
Invoice paid. Receipt attached.,SAFE
"Hey, are you free for lunch tomorrow at 1:00 PM?",SAFE
Mom: Call me when you land.,SAFE
Reminder: dentist appointment on Tuesday at 1:00 PM.,SAFE
Dinner at The Diner tonight?,SAFE
Mom: Call me when you land.,SAFE
Thanks for your help today!,SAFE
Package delivered to your front door.,SAFE
Invoice paid. Receipt attached.,SAFE
Reminder: dentist appointment on Friday at 11:30 AM.,SAFE
Your Amazon order #505 has shipped.,SAFE
